year	statenum	division	newlpc_prop	newlpc_viol	newlpc_murd	newefaprop	newefaviol	newefamurd
1960	1	6	2.335129	.6217844	-2.087415			
1961	1	6	2.283742	.517558	-2.049731			
1962	1	6	2.37789	.4636261	-2.352881			
1963	1	6	2.439858	.5993992	-2.290155			
1964	1	6	2.612622	.760076	-2.374317			
1965	1	6	2.639327	.6974944	-2.165213			
1966	1	6	2.741734	.8491932	-2.199537			
1967	1	6	2.803746	.8932393	-2.120167			
1968	1	6	2.905873	.8775945	-2.102337			
1969	1	6	2.957934	.9440416	-1.959078			
1970	1	6	3.083601	1.08418	-2.143077			
1971	1	6	3.079911	1.130854	-1.898191			
1972	1	6	3.027228	1.133392	-1.965137			
1973	1	6	3.094134	1.241588	-2.034588			
1974	1	6	3.254772	1.302349	-1.911889			
1975	1	6	3.409603	1.350722	-1.852503			
1976	1	6	3.513125	1.338832	-1.910182			
1977	1	6	3.471745	1.397565	-1.976094			
1978	1	6	3.537236	1.40917	-2.038493			
1979	1	6	3.620109	1.393575	-2.053464			
1980	1	6	3.793324	1.490791	-2.036378			
1981	1	6	3.789948	1.547883	-2.131435			
1982	1	6	3.738802	1.503472	-2.242103			
1983	1	6	3.61317	1.431919	-2.380284			
1984	1	6	3.5566	1.470966	-2.357676			
1985	1	6	3.563062	1.532841	-2.305743	.0406244	.0102478	.0009593
1986	1	6	3.63436	1.734473	-2.278224	.0624972	.0160521	.0015403
1987	1	6	3.678285	1.738104	-2.357687	.1158312	.0345424	.0056296
1988	1	6	3.714974	1.745515	-2.288726	.1802632	.0573062	.0107106
1989	1	6	3.719635	1.797848	-2.258944	.2773608	.0981331	.0246738
1990	1	6	3.736915	1.955725	-2.160156	.3895639	.1518636	.0503652
1991	1	6	3.808937	2.1307	-2.167933	.5318907	.2267317	.0913744
1992	1	6	3.779036	2.160887	-2.211533	.6930131	.3168835	.1490311
1993	1	6	3.706694	2.048181	-2.164131	.8652006	.4240857	.224434
1994	1	6	3.732545	1.912579	-2.140472	1.050828	.550605	.3176734
1995	1	6	3.731156	1.834033	-2.202311	1.233301	.6898172	.4335665
1996	1	6	3.737102	1.718835	-2.277753	1.41531	.8399056	.5622677
1997	1	6	3.755796	1.719432	-2.327606	1.580344	.9927251	.7055626
1998	1	6	3.697869	1.621286	-2.521131	1.730121	1.149329	.854705
1999	1	6	3.655557	1.57594	-2.552642	1.858839	1.298604	1.005311
2000	1	6	3.702524	1.580196	-2.60512	1.975834	1.446152	1.156306
2001	1	6	3.657805	1.477663	-2.467167	2.085295	1.589816	1.303046
2002	1	6	3.695313	1.492413	-2.693886	2.180776	1.728716	1.448514
2003	1	6	3.700425	1.456805	-2.712217	2.266808	1.8621	1.588123
1960	3	8	3.319991	.7163431	-2.829436			
1961	3	8	3.3795	.4862183	-2.818398			
1962	3	8	3.436025	.5734078	-2.83935			
1963	3	8	3.490533	.688204	-2.794524			
1964	3	8	3.551743	.7722006	-2.931033			
1965	3	8	3.528234	.6688648	-2.985682			
1966	3	8	3.674605	.7066858	-2.801503			
1967	3	8	3.821271	.8605751	-2.895244			
1968	3	8	3.823835	.9620754	-2.773778			
1969	3	8	3.863181	1.195648	-2.834942			
1970	3	8	4.013643	1.307575	-2.357816			
1971	3	8	3.989736	1.362777	-2.727122			
1972	3	8	3.972465	1.469596	-2.649212			
1973	3	8	4.099218	1.536702	-2.543269			
1974	3	8	4.305853	1.702654	-2.378825			
1975	3	8	4.328904	1.673825	-2.481781			
1976	3	8	4.27526	1.482758	-2.584384			
1977	3	8	4.229251	1.543041	-2.413771			
1978	3	8	4.189577	1.642243	-2.431991			
1979	3	8	4.212554	1.706978	-2.487783			
1980	3	8	4.311921	1.864893	-2.283689			
1981	3	8	4.247821	1.744478	-2.516028			
1982	3	8	4.18139	1.632405	-2.505132			
1983	3	8	4.075099	1.595694	-2.634663			
1984	3	8	4.086937	1.636477	-2.556228			
1985	3	8	4.177577	1.797021	-2.528414	.0610724	.0155418	.0014727
1986	3	8	4.201807	1.887091	-2.377331	.0876294	.0229135	.002251
1987	3	8	4.171031	1.797532	-2.608995	.1640992	.0505862	.0087707
1988	3	8	4.208699	1.788733	-2.486941	.2479358	.0813507	.016119
1989	3	8	4.293724	1.772568	-2.726773	.380401	.1403852	.03789
1990	3	8	4.276568	1.870313	-2.562806	.5214688	.2132133	.0763961
1991	3	8	4.199655	1.892947	-2.566422	.6791883	.306265	.1347281
1992	3	8	4.130642	1.88172	-2.529756	.8621633	.4179455	.2152603
1993	3	8	4.174831	1.934741	-2.484277	1.038557	.5388165	.3110892
1994	3	8	4.238745	1.909495	-2.299079	1.223435	.6767774	.4208854
1995	3	8	4.267901	1.915395	-2.312219	1.400326	.8258675	.5545372
1996	3	8	4.12915	1.807669	-2.498723	1.557323	.9756338	.6903096
1997	3	8	4.146122	1.791374	-2.536231	1.712572	1.129992	.8407099
1998	3	8	4.048964	1.709414	-2.563996	1.861137	1.288162	.9906663
1999	3	8	3.928644	1.65667	-2.571304	1.996904	1.437819	1.134048
2000	3	8	3.963019	1.664103	-2.666521	2.127126	1.591671	1.28653
2001	3	8	4.01604	1.688914	-2.583402	2.243175	1.741861	1.436493
2002	3	8	4.06937	1.713269	-2.642942	2.346728	1.888371	1.591269
